as_of_date,customer_id,customer_name,email,account_id,branch,city,account_type,kyc_status,balance,customer_since
2026-01-01,C001,Customer 1,customer1@novabank.com,A1001,Pune,Hyderabad,Savings,VERIFIED,36233,2020-01-04
2026-01-01,C002,Customer 2,customer2@novabank.com,A1002,Bengaluru,Bengaluru,Current,VERIFIED,19739,2023-05-23
2026-01-01,C003,Customer 3,customer3@novabank.com,A1003,Mumbai,Mumbai,Current,VERIFIED,38666,2024-03-13
2026-01-01,C004,Customer 4,customer4@novabank.com,A1004,Mumbai,Pune,Current,VERIFIED,97893,2020-09-10
2026-01-01,C005,Customer 5,customer5@novabank.com,A1005,Pune,Mumbai,Savings,VERIFIED,52136,2019-09-24
2026-01-01,C006,Customer 6,customer6@novabank.com,A1006,Bengaluru,Pune,Current,VERIFIED,31505,2025-12-10
2026-01-01,C007,Customer 7,customer7@novabank.com,A1007,Bengaluru,Hyderabad,Savings,VERIFIED,73391,2023-10-28
2026-01-01,C008,Customer 8,customer8@novabank.com,A1008,Hyderabad,Bengaluru,Current,VERIFIED,18271,2020-08-22
2026-01-01,C009,Customer 9,customer9@novabank.com,A1009,Bengaluru,Hyderabad,Savings,VERIFIED,10762,2024-03-16
2026-01-01,C010,Customer 10,customer10@novabank.com,A1010,Pune,Mumbai,Current,VERIFIED,37157,2025-12-18
2026-01-01,C011,Customer 11,customer11@novabank.com,A1011,Pune,Pune,Current,VERIFIED,14130,2021-08-16
2026-01-01,C012,Customer 12,customer12@novabank.com,A1012,Mumbai,Pune,Savings,VERIFIED,94613,2020-06-17
2026-01-01,C013,Customer 13,customer13@novabank.com,A1013,Hyderabad,Bengaluru,Savings,VERIFIED,13988,2024-11-06
2026-01-01,C014,Customer 14,customer14@novabank.com,A1014,Hyderabad,Pune,Savings,VERIFIED,15377,2021-06-05
2026-01-01,C015,Customer 15,customer15@novabank.com,A1015,Hyderabad,Mumbai,Savings,VERIFIED,40969,2023-10-07
2026-01-01,C016,Customer 16,customer16@novabank.com,A1016,Pune,Bengaluru,Current,VERIFIED,53821,2019-07-15
2026-01-01,C017,Customer 17,customer17@novabank.com,A1017,Hyderabad,Mumbai,Current,VERIFIED,36581,2023-06-23
2026-01-01,C018,Customer 18,customer18@novabank.com,A1018,Hyderabad,Bengaluru,Current,VERIFIED,12127,2024-02-15
2026-01-01,C019,Customer 19,customer19@novabank.com,A1019,Mumbai,Mumbai,Current,VERIFIED,41697,2023-01-27
2026-01-01,C020,Customer 20,customer20@novabank.com,A1020,Pune,Mumbai,Current,VERIFIED,45697,2022-05-03
2026-01-01,C021,Customer 21,customer21@novabank.com,A1021,Mumbai,Hyderabad,Current,VERIFIED,65723,2019-02-28
